Z,B,Bx,By,Bz

1.800000e-01,1.230295e+03,-1.403333e+02,-1.133333e+02,1217
2.300000e-01,1.190636e+03,-142,-117,1.176333e+03
2.800000e-01,1.156842e+03,-1.436667e+02,-1.193333e+02,1.141667e+03
3.300000e-01,1.102976e+03,-147,-1.156667e+02,1087
3.800000e-01,1.064615e+03,-1.453333e+02,-124,1.047333e+03
4.300000e-01,1.012290e+03,-139,-1.213333e+02,9.953333e+02
4.800000e-01,9.717544e+02,-1.366667e+02,-1.193333e+02,9.546667e+02
5.300000e-01,9.182961e+02,-1.333333e+02,-117,901
5.800000e-01,8.803497e+02,-132,-1.106667e+02,8.633333e+02
6.300000e-01,8.273374e+02,-1.273333e+02,-1.103333e+02,810
6.800000e-01,7.828032e+02,-1.173333e+02,-106,7.666667e+02
7.300000e-01,7.496243e+02,-1.133333e+02,-1.016667e+02,734
7.800000e-01,6.991940e+02,-1.083333e+02,-9.633333e+01,684
8.300000e-01,6.661265e+02,-1.046667e+02,-90,6.516667e+02
8.800000e-01,6.225632e+02,-100,-89,608
9.300000e-01,5.877707e+02,-9.366667e+01,-85,574
9.800000e-01,5.537734e+02,-8.533333e+01,-7.733333e+01,5.416667e+02
1.030000e+00,5.209788e+02,-8.166667e+01,-73,5.093333e+02
1.080000e+00,4.955067e+02,-7.833333e+01,-67,4.846667e+02
1.130000e+00,4.627631e+02,-7.233333e+01,-6.566667e+01,4.523333e+02
1.180000e+00,4.363512e+02,-6.866667e+01,-6.266667e+01,4.263333e+02
1.230000e+00,4.110537e+02,-62,-57,4.023333e+02
1.280000e+00,3.868026e+02,-60,-5.366667e+01,3.783333e+02
1.330000e+00,3.683136e+02,-5.633333e+01,-49,3.606667e+02
1.380000e+00,3.436182e+02,-53,-4.866667e+01,336
1.430000e+00,3.250015e+02,-5.066667e+01,-4.633333e+01,3.176667e+02
1.480000e+00,3.066750e+02,-4.566667e+01,-42,3.003333e+02
1.530000e+00,2.893141e+02,-4.333333e+01,-3.933333e+01,2.833333e+02
1.580000e+00,2.755076e+02,-4.133333e+01,-36,270
1.630000e+00,2.581001e+02,-3.966667e+01,-3.466667e+01,2.526667e+02
1.680000e+00,2.462668e+02,-3.566667e+01,-3.366667e+01,2.413333e+02
1.730000e+00,2.312894e+02,-34,-31,2.266667e+02
1.780000e+00,2.209216e+02,-3.133333e+01,-2.966667e+01,2.166667e+02
1.830000e+00,2.071309e+02,-30,-2.566667e+01,2.033333e+02
1.880000e+00,1.964668e+02,-2.833333e+01,-26,1.926667e+02
1.930000e+00,1.889480e+02,-2.666667e+01,-2.533333e+01,1.853333e+02
1.980000e+00,1.767764e+02,-24,-2.266667e+01,1.736667e+02
2.030000e+00,1.679557e+02,-23,-2.133333e+01,165
2.080000e+00,1.598326e+02,-22,-2.033333e+01,157
2.130000e+00,1.516392e+02,-2.166667e+01,-18,149
2.180000e+00,1.452190e+02,-1.933333e+01,-19,1.426667e+02
2.230000e+00,1.369655e+02,-18,-1.733333e+01,1.346667e+02
2.280000e+00,1.328608e+02,-1.733333e+01,-1.666667e+01,1.306667e+02
2.330000e+00,1.250236e+02,-1.633333e+01,-1.533333e+01,123
2.380000e+00,1.183408e+02,-16,-1.466667e+01,1.163333e+02
2.430000e+00,1.138205e+02,-1.466667e+01,-14,112
2.480000e+00,1.081182e+02,-14,-1.366667e+01,1.063333e+02
2.530000e+00,1.039305e+02,-1.266667e+01,-13,1.023333e+02
2.580000e+00,9.880171e+01,-12,-12,9.733333e+01
2.630000e+00,9.548066e+01,-1.233333e+01,-1.133333e+01,94
2.680000e+00,9.075976e+01,-1.133333e+01,-1.133333e+01,8.933333e+01
2.730000e+00,8.665641e+01,-1.066667e+01,-1.066667e+01,8.533333e+01
2.780000e+00,8.357964e+01,-10,-1.033333e+01,8.233333e+01
2.830000e+00,7.919035e+01,-10,-9.333333e+00,78
2.880000e+00,7.623575e+01,-9.666667e+00,-9.666667e+00,75
2.930000e+00,7.352928e+01,-9,-9.666667e+00,7.233333e+01
2.980000e+00,7.040991e+01,-8.333333e+00,-9,6.933333e+01
3.030000e+00,6.696434e+01,-7.666667e+00,-8.333333e+00,66
3.080000e+00,6.524058e+01,-7.666667e+00,-7.666667e+00,6.433333e+01
3.130000e+00,6.179806e+01,-7,-7,61
3.180000e+00,5.986466e+01,-7,-7.333333e+00,59
