Z,B,Bx,By,Bz

1.800000e-01,1.235314e+03,-63,-8.166667e+01,1231
2.300000e-01,1.206471e+03,-7.366667e+01,-88,1201
2.800000e-01,1.167196e+03,-76,-93,1161
3.300000e-01,1.127187e+03,-78,-1.003333e+02,1120
3.800000e-01,1.080465e+03,-84,-9.866667e+01,1.072667e+03
4.300000e-01,1.037222e+03,-8.333333e+01,-110,1028
4.800000e-01,9.914833e+02,-8.133333e+01,-110,982
5.300000e-01,9.442202e+02,-7.666667e+01,-107,935
5.800000e-01,8.984387e+02,-76,-1.053333e+02,889
6.300000e-01,8.540230e+02,-75,-1.013333e+02,8.446667e+02
6.800000e-01,8.087435e+02,-73,-1.016667e+02,799
7.300000e-01,7.658995e+02,-69,-99,7.563333e+02
7.800000e-01,7.241060e+02,-6.533333e+01,-94,715
8.300000e-01,6.838072e+02,-6.266667e+01,-8.966667e+01,675
8.800000e-01,6.454990e+02,-62,-84,637
9.300000e-01,6.102049e+02,-5.833333e+01,-8.333333e+01,6.016667e+02
9.800000e-01,5.750642e+02,-54,-7.933333e+01,567
1.030000e+00,5.415871e+02,-5.133333e+01,-7.433333e+01,534
1.080000e+00,5.105842e+02,-47,-6.933333e+01,5.036667e+02
1.130000e+00,4.807609e+02,-4.566667e+01,-6.366667e+01,4.743333e+02
1.180000e+00,4.533870e+02,-4.366667e+01,-62,447
1.230000e+00,4.269178e+02,-4.066667e+01,-58,421
1.280000e+00,4.051119e+02,-3.733333e+01,-5.466667e+01,3.996667e+02
1.330000e+00,3.790805e+02,-35,-51,374
1.380000e+00,3.578546e+02,-3.433333e+01,-4.766667e+01,353
1.430000e+00,3.376366e+02,-32,-4.566667e+01,333
1.480000e+00,3.197075e+02,-30,-4.333333e+01,3.153333e+02
1.530000e+00,3.008953e+02,-27,-40,297
1.580000e+00,2.835820e+02,-25,-3.733333e+01,280
1.630000e+00,2.683333e+02,-24,-3.466667e+01,265
1.680000e+00,2.535317e+02,-2.333333e+01,-3.266667e+01,2.503333e+02
1.730000e+00,2.413725e+02,-2.133333e+01,-3.166667e+01,2.383333e+02
1.780000e+00,2.281272e+02,-1.966667e+01,-2.966667e+01,2.253333e+02
1.830000e+00,2.151281e+02,-18,-27,2.126667e+02
1.880000e+00,2.042950e+02,-18,-2.466667e+01,202
1.930000e+00,1.932807e+02,-1.733333e+01,-24,191
1.980000e+00,1.852164e+02,-16,-2.366667e+01,183
2.030000e+00,1.739655e+02,-14,-22,172
2.080000e+00,1.658198e+02,-1.366667e+01,-2.033333e+01,164
2.130000e+00,1.569508e+02,-13,-1.833333e+01,1.553333e+02
2.180000e+00,1.496277e+02,-1.266667e+01,-18,148
2.230000e+00,1.424465e+02,-11,-17,141
2.280000e+00,1.354798e+02,-11,-1.666667e+01,134
2.330000e+00,1.293686e+02,-1.033333e+01,-1.566667e+01,128
2.380000e+00,1.231932e+02,-9.333333e+00,-1.433333e+01,122
2.430000e+00,1.171632e+02,-9.666667e+00,-1.333333e+01,116
2.480000e+00,1.125443e+02,-8.666667e+00,-14,1.113333e+02
2.530000e+00,1.073835e+02,-8,-1.266667e+01,1.063333e+02
2.580000e+00,1.023686e+02,-7.666667e+00,-1.233333e+01,1.013333e+02
2.630000e+00,9.758017e+01,-7,-1.133333e+01,9.666667e+01
2.680000e+00,9.354084e+01,-7,-1.066667e+01,9.266667e+01
2.730000e+00,8.992466e+01,-6.666667e+00,-11,89
2.780000e+00,8.579627e+01,-6,-10,85
2.830000e+00,8.177136e+01,-5.666667e+00,-9.666667e+00,81
2.880000e+00,7.867655e+01,-5,-9,78
2.930000e+00,7.563803e+01,-5.666667e+00,-8,75
2.980000e+00,7.265290e+01,-5,-8.333333e+00,72
3.030000e+00,6.968102e+01,-5,-8.333333e+00,69
3.080000e+00,6.693363e+01,-4,-8,6.633333e+01
3.130000e+00,6.355138e+01,-4,-7.333333e+00,63
3.180000e+00,6.181154e+01,-4.333333e+00,-6.333333e+00,6.133333e+01
