Z,B,Bx,By,Bz

1.800000e-01,1.273885e+03,-89,-1.403333e+02,1263
2.300000e-01,1.241968e+03,-9.066667e+01,-1.433333e+02,1.230333e+03
2.800000e-01,1.200652e+03,-9.333333e+01,-1.466667e+02,1188
3.300000e-01,1.158064e+03,-9.733333e+01,-1.513333e+02,1144
3.800000e-01,1.118583e+03,-1.003333e+02,-147,1.104333e+03
4.300000e-01,1.065601e+03,-9.733333e+01,-1.556667e+02,1.049667e+03
4.800000e-01,1.018056e+03,-95,-153,1002
5.300000e-01,9.693633e+02,-91,-148,9.536667e+02
5.800000e-01,9.221368e+02,-9.033333e+01,-144,9.063333e+02
6.300000e-01,8.803084e+02,-8.966667e+01,-1.366667e+02,865
6.800000e-01,8.300305e+02,-85,-1.363333e+02,8.143333e+02
7.300000e-01,7.851461e+02,-80,-129,7.703333e+02
7.800000e-01,7.432892e+02,-7.633333e+01,-1.233333e+02,729
8.300000e-01,7.006355e+02,-7.233333e+01,-117,687
8.800000e-01,6.628885e+02,-73,-1.076667e+02,650
9.300000e-01,6.240568e+02,-6.733333e+01,-1.076667e+02,611
9.800000e-01,5.881717e+02,-63,-101,576
1.030000e+00,5.586627e+02,-5.866667e+01,-9.533333e+01,5.473333e+02
1.080000e+00,5.225235e+02,-55,-8.866667e+01,512
1.130000e+00,4.917327e+02,-54,-81,482
1.180000e+00,4.634859e+02,-5.066667e+01,-7.833333e+01,454
1.230000e+00,4.367094e+02,-4.533333e+01,-74,428
1.280000e+00,4.110158e+02,-42,-69,403
1.330000e+00,3.877577e+02,-40,-66,380
1.380000e+00,3.658650e+02,-3.966667e+01,-5.833333e+01,359
1.430000e+00,3.481776e+02,-3.733333e+01,-5.766667e+01,3.413333e+02
1.480000e+00,3.253844e+02,-33,-55,319
1.530000e+00,3.068820e+02,-3.066667e+01,-5.133333e+01,301
1.580000e+00,2.903226e+02,-2.866667e+01,-4.733333e+01,285
1.630000e+00,2.736628e+02,-2.833333e+01,-4.366667e+01,2.686667e+02
1.680000e+00,2.587191e+02,-2.666667e+01,-4.133333e+01,254
1.730000e+00,2.451458e+02,-24,-40,2.406667e+02
1.780000e+00,2.320280e+02,-22,-37,228
1.830000e+00,2.203414e+02,-2.066667e+01,-3.433333e+01,2.166667e+02
1.880000e+00,2.087359e+02,-2.066667e+01,-3.133333e+01,2.053333e+02
1.930000e+00,1.970502e+02,-19,-31,1.936667e+02
1.980000e+00,1.868633e+02,-18,-2.933333e+01,1.836667e+02
2.030000e+00,1.800488e+02,-1.633333e+01,-2.866667e+01,177
2.080000e+00,1.683640e+02,-15,-26,1.656667e+02
2.130000e+00,1.604539e+02,-1.433333e+01,-24,158
2.180000e+00,1.522498e+02,-14,-22,150
2.230000e+00,1.445795e+02,-1.266667e+01,-22,1.423333e+02
2.280000e+00,1.384622e+02,-12,-21,1.363333e+02
2.330000e+00,1.316101e+02,-11,-1.966667e+01,1.296667e+02
2.380000e+00,1.254242e+02,-1.066667e+01,-18,1.236667e+02
2.430000e+00,1.194627e+02,-1.066667e+01,-1.766667e+01,1.176667e+02
2.480000e+00,1.140229e+02,-9.666667e+00,-17,1.123333e+02
2.530000e+00,1.098777e+02,-9,-16,1.083333e+02
2.580000e+00,1.044467e+02,-8.666667e+00,-15,103
2.630000e+00,9.936521e+01,-8,-1.433333e+01,98
2.680000e+00,9.557894e+01,-7.666667e+00,-1.333333e+01,9.433333e+01
2.730000e+00,9.085336e+01,-7.333333e+00,-1.266667e+01,8.966667e+01
2.780000e+00,8.776864e+01,-6.333333e+00,-1.233333e+01,8.666667e+01
2.830000e+00,8.372574e+01,-6.333333e+00,-1.166667e+01,8.266667e+01
2.880000e+00,8.031673e+01,-6,-11,7.933333e+01
2.930000e+00,7.732974e+01,-5.666667e+00,-11,7.633333e+01
2.980000e+00,7.331363e+01,-6,-1.033333e+01,7.233333e+01
3.030000e+00,6.976389e+01,-5,-9,69
3.080000e+00,6.816076e+01,-5,-9.333333e+00,6.733333e+01
3.130000e+00,6.552862e+01,-4.333333e+00,-9.666667e+00,6.466667e+01
3.180000e+00,6.277650e+01,-4.666667e+00,-8.666667e+00,62
