Z,B,Bx,By,Bz
1.800000e-01,1.220404e+03,-64,-137,1211
2.300000e-01,1.187467e+03,-7.366667e+01,-139,1177
2.800000e-01,1.148600e+03,-76,-144,1137
3.300000e-01,1.115486e+03,-7.866667e+01,-1.466667e+02,1103
3.800000e-01,1.063623e+03,-8.333333e+01,-143,1.050667e+03
4.300000e-01,1.024773e+03,-84,-1.516667e+02,1010
4.800000e-01,9.814355e+02,-8.166667e+01,-1.486667e+02,9.666667e+02
5.300000e-01,9.302645e+02,-79,-146,9.153333e+02
5.800000e-01,8.876304e+02,-7.666667e+01,-141,873
6.300000e-01,8.417152e+02,-7.666667e+01,-1.366667e+02,827
6.800000e-01,7.978043e+02,-75,-1.333333e+02,783
7.300000e-01,7.577548e+02,-6.966667e+01,-1.276667e+02,7.436667e+02
7.800000e-01,7.150078e+02,-68,-1.233333e+02,701
8.300000e-01,6.781257e+02,-64,-1.163333e+02,665
8.800000e-01,6.374102e+02,-65,-105,6.253333e+02
9.300000e-01,6.100604e+02,-6.166667e+01,-1.056667e+02,5.976667e+02
9.800000e-01,5.678231e+02,-5.733333e+01,-100,556
1.030000e+00,5.438976e+02,-5.266667e+01,-9.466667e+01,533
1.080000e+00,5.057068e+02,-4.866667e+01,-8.766667e+01,4.956667e+02
1.130000e+00,4.757530e+02,-4.733333e+01,-8.333333e+01,466
1.180000e+00,4.519693e+02,-4.466667e+01,-7.766667e+01,443
1.230000e+00,4.225043e+02,-4.166667e+01,-7.333333e+01,414
1.280000e+00,4.038731e+02,-38,-6.966667e+01,396
1.330000e+00,3.755497e+02,-3.566667e+01,-64,3.683333e+02
1.380000e+00,3.598348e+02,-3.566667e+01,-60,353
1.430000e+00,3.344928e+02,-34,-58,3.276667e+02
1.480000e+00,3.171964e+02,-3.066667e+01,-5.433333e+01,311
1.530000e+00,3.030345e+02,-2.866667e+01,-51,2.973333e+02
1.580000e+00,2.818274e+02,-2.533333e+01,-4.733333e+01,2.766667e+02
1.630000e+00,2.659797e+02,-2.566667e+01,-4.433333e+01,261
1.680000e+00,2.527981e+02,-23,-4.133333e+01,2.483333e+02
1.730000e+00,2.377013e+02,-22,-3.966667e+01,2.333333e+02
1.780000e+00,2.259491e+02,-20,-37,222
1.830000e+00,2.138237e+02,-1.866667e+01,-3.566667e+01,210
1.880000e+00,2.030014e+02,-19,-3.133333e+01,1.996667e+02
1.930000e+00,1.955852e+02,-1.733333e+01,-31,1.923333e+02
1.980000e+00,1.824734e+02,-16,-2.966667e+01,1.793333e+02
2.030000e+00,1.728599e+02,-1.466667e+01,-2.766667e+01,170
2.080000e+00,1.655717e+02,-13,-26,163
2.130000e+00,1.562039e+02,-1.333333e+01,-2.466667e+01,1.536667e+02
2.180000e+00,1.485975e+02,-13,-2.233333e+01,1.463333e+02
2.230000e+00,1.411615e+02,-1.166667e+01,-2.166667e+01,139
2.280000e+00,1.349177e+02,-1.066667e+01,-20,133
2.330000e+00,1.288518e+02,-10,-1.933333e+01,127
2.380000e+00,1.227622e+02,-9.666667e+00,-1.833333e+01,121
2.430000e+00,1.166238e+02,-9.333333e+00,-17,115
2.480000e+00,1.118958e+02,-8.333333e+00,-1.666667e+01,1.103333e+02
2.530000e+00,1.065890e+02,-8.333333e+00,-1.633333e+01,105
2.580000e+00,1.017377e+02,-7.666667e+00,-15,1.003333e+02
2.630000e+00,9.863175e+01,-7,-1.433333e+01,9.733333e+01
2.680000e+00,9.319990e+01,-6.666667e+00,-1.333333e+01,92
2.730000e+00,9.014433e+01,-6,-13,89
2.780000e+00,8.551738e+01,-5.666667e+00,-13,8.433333e+01
2.830000e+00,8.172855e+01,-5.333333e+00,-12,8.066667e+01
2.880000e+00,7.907099e+01,-5.666667e+00,-1.166667e+01,78
2.930000e+00,7.500296e+01,-5.333333e+00,-11,74
2.980000e+00,7.255802e+01,-4.666667e+00,-1.033333e+01,7.166667e+01
3.030000e+00,6.985541e+01,-4.333333e+00,-10,69
3.080000e+00,6.638189e+01,-3.666667e+00,-9,6.566667e+01
3.130000e+00,6.401042e+01,-3.333333e+00,-8.666667e+00,6.333333e+01
3.180000e+00,6.238055e+01,-3.666667e+00,-8.666667e+00,6.166667e+01
