39.000	-19.000	0.000
-90.000	-67.000	4.000
491.000	392.000	8.000
-1758.000	-1923.000	12.000
3191.000	4759.000	16.000
15093.000	11148.000	20.000
5362.000	3585.000	24.000
8078.000	3169.000	28.000
3682.000	8858.000	32.000
-44254.000	3762.000	36.000
-108850.000	-135372.000	40.000
-6400.000	-502662.000	44.000
523187.000	-709137.000	48.000
1119012.000	-485841.000	52.000
1166016.000	275238.000	56.000
649280.000	725389.000	60.000
-45.000	-74.000	64.000
-59.000	80.000	68.000
110.000	-439.000	72.000
500.000	1217.000	76.000
33.000	12859.000	80.000
33204.000	-28888.000	84.000
53795.000	-4564.000	88.000
3212.000	8437.000	92.000
45197.000	73617.000	96.000
-98944.000	176737.000	100.000
-198127.000	-206251.000	104.000
151500.000	-613099.000	108.000
603102.000	-661079.000	112.000
903960.000	-343004.000	116.000
942142.000	81201.000	120.000
661778.000	434052.000	124.000
38.000	-7.000	128.000
-17.000	-8.000	132.000
-15.000	239.000	136.000
473.000	-1910.000	140.000
-6497.000	3851.000	144.000
13431.000	7597.000	148.000
29114.000	-19000.000	152.000
1126.000	-13009.000	156.000
-53463.000	45936.000	160.000
-48925.000	15256.000	164.000
-89167.000	-233687.000	168.000
142199.000	-433752.000	172.000
476336.000	-500544.000	176.000
740944.000	-292062.000	180.000
821372.000	96628.000	184.000
546941.000	490363.000	188.000
30.000	-21.000	192.000
-38.000	18.000	196.000
148.000	-149.000	200.000
-219.000	627.000	204.000
2716.000	6521.000	208.000
-6930.000	-3498.000	212.000
-35393.000	-20222.000	216.000
-6122.000	-9696.000	220.000
9852.000	68553.000	224.000
11334.000	48675.000	228.000
-48932.000	-83631.000	232.000
81566.000	-371011.000	236.000
400749.000	-452125.000	240.000
721480.000	-246339.000	244.000
748884.000	166855.000	248.000
337256.000	374601.000	252.000
-8.000	17.000	256.000
7.000	22.000	260.000
91.000	-144.000	264.000
-217.000	888.000	268.000
3216.000	-1238.000	272.000
10654.000	3432.000	276.000
-8488.000	16122.000	280.000
-9320.000	-5167.000	284.000
