Z,B,Bx,By,Bz

1.800000e-01,1.245411e+03,-65,-87,1.240667e+03
2.300000e-01,1.217839e+03,-6.966667e+01,-9.233333e+01,1.212333e+03
2.800000e-01,1.170587e+03,-7.333333e+01,-100,1164
3.300000e-01,1.135514e+03,-80,-103,1128
3.800000e-01,1.084155e+03,-8.866667e+01,-1.023333e+02,1.075667e+03
4.300000e-01,1.039802e+03,-88,-112,1030
4.800000e-01,9.935850e+02,-8.666667e+01,-110,9.836667e+02
5.300000e-01,9.494106e+02,-85,-1.086667e+02,9.393333e+02
5.800000e-01,9.013246e+02,-84,-107,891
6.300000e-01,8.628967e+02,-8.533333e+01,-1.013333e+02,8.526667e+02
6.800000e-01,8.121525e+02,-8.233333e+01,-1.033333e+02,8.013333e+02
7.300000e-01,7.718478e+02,-7.666667e+01,-9.866667e+01,7.616667e+02
7.800000e-01,7.265313e+02,-7.433333e+01,-9.333333e+01,7.166667e+02
8.300000e-01,6.923115e+02,-71,-9.066667e+01,6.826667e+02
8.800000e-01,6.494550e+02,-71,-82,6.403333e+02
9.300000e-01,6.125173e+02,-68,-8.333333e+01,603
9.800000e-01,5.796377e+02,-6.166667e+01,-7.833333e+01,571
1.030000e+00,5.439430e+02,-57,-73,536
1.080000e+00,5.170192e+02,-5.466667e+01,-70,5.093333e+02
1.130000e+00,4.831236e+02,-5.466667e+01,-62,476
1.180000e+00,4.558379e+02,-51,-6.233333e+01,4.486667e+02
1.230000e+00,4.328124e+02,-4.566667e+01,-59,4.263333e+02
1.280000e+00,4.056734e+02,-43,-5.466667e+01,3.996667e+02
1.330000e+00,3.822472e+02,-40,-5.133333e+01,3.766667e+02
1.380000e+00,3.601534e+02,-40,-4.566667e+01,355
1.430000e+00,3.454512e+02,-3.733333e+01,-46,3.403333e+02
1.480000e+00,3.211379e+02,-34,-4.366667e+01,3.163333e+02
1.530000e+00,3.028432e+02,-3.166667e+01,-4.133333e+01,2.983333e+02
1.580000e+00,2.897499e+02,-2.966667e+01,-3.833333e+01,2.856667e+02
1.630000e+00,2.703851e+02,-29,-34,2.666667e+02
1.680000e+00,2.582114e+02,-27,-33,2.546667e+02
1.730000e+00,2.423911e+02,-2.466667e+01,-32,239
1.780000e+00,2.291065e+02,-2.266667e+01,-30,226
1.830000e+00,2.175012e+02,-21,-28,2.146667e+02
1.880000e+00,2.056496e+02,-21,-2.533333e+01,203
1.930000e+00,1.955377e+02,-19,-25,193
1.980000e+00,1.855086e+02,-1.866667e+01,-24,183
2.030000e+00,1.759201e+02,-17,-2.233333e+01,1.736667e+02
2.080000e+00,1.700722e+02,-1.566667e+01,-2.133333e+01,168
2.130000e+00,1.589528e+02,-16,-19,157
2.180000e+00,1.508472e+02,-1.433333e+01,-1.866667e+01,149
2.230000e+00,1.447438e+02,-1.333333e+01,-18,143
2.280000e+00,1.375827e+02,-12,-17,136
2.330000e+00,1.305825e+02,-12,-1.633333e+01,129
2.380000e+00,1.250875e+02,-1.133333e+01,-15,1.236667e+02
2.430000e+00,1.193357e+02,-11,-14,118
2.480000e+00,1.137273e+02,-10,-1.466667e+01,1.123333e+02
2.530000e+00,1.081902e+02,-9.333333e+00,-13,107
2.580000e+00,1.042065e+02,-9,-13,103
2.630000e+00,9.896689e+01,-8.333333e+00,-11,98
2.680000e+00,9.439927e+01,-8,-1.166667e+01,9.333333e+01
2.730000e+00,9.102198e+01,-8,-11,90
2.780000e+00,8.661152e+01,-7,-1.066667e+01,8.566667e+01
2.830000e+00,8.286401e+01,-7,-9.666667e+00,82
2.880000e+00,7.915877e+01,-7,-9,7.833333e+01
2.930000e+00,7.685050e+01,-7,-9,76
2.980000e+00,7.307074e+01,-5.666667e+00,-8.666667e+00,7.233333e+01
3.030000e+00,6.978857e+01,-5.333333e+00,-9,69
3.080000e+00,6.799101e+01,-5,-8,6.733333e+01
3.130000e+00,6.490591e+01,-5,-7,6.433333e+01
3.180000e+00,6.164234e+01,-5,-7.333333e+00,61
