Z,B,Bx,By,Bz
2.060000e+00,1.340746e+03,-65,-1339,2.133333e+01
2.080000e+00,1.336408e+03,-6.466667e+01,-1.334667e+03,2.166667e+01
2.100000e+00,1.330712e+03,-6.366667e+01,-1329,2.233333e+01
2.120000e+00,1.325745e+03,-64,-1324,23
2.140000e+00,1.322751e+03,-6.366667e+01,-1321,24
2.160000e+00,1.318059e+03,-63,-1.316333e+03,24
2.180000e+00,1.310763e+03,-6.333333e+01,-1309,2.466667e+01
2.200000e+00,1.307758e+03,-63,-1306,25
2.220000e+00,1.303117e+03,-63,-1.301333e+03,26
2.240000e+00,1.298422e+03,-62,-1.296667e+03,2.666667e+01
2.260000e+00,1.293429e+03,-62,-1.291667e+03,2.666667e+01
2.280000e+00,1.288069e+03,-62,-1.286333e+03,25
2.300000e+00,1.283723e+03,-62,-1282,24
2.320000e+00,1.278330e+03,-61,-1.276667e+03,23
2.340000e+00,1.273371e+03,-6.133333e+01,-1.271667e+03,24
2.360000e+00,1.268375e+03,-61,-1.266667e+03,2.466667e+01
2.380000e+00,1.261691e+03,-6.033333e+01,-1260,25
2.400000e+00,1.258347e+03,-60,-1.256667e+03,25
2.420000e+00,1.252028e+03,-60,-1.250333e+03,2.533333e+01
2.440000e+00,1.246721e+03,-5.966667e+01,-1245,27
2.460000e+00,1.242083e+03,-5.966667e+01,-1.240333e+03,28
2.480000e+00,1.237747e+03,-59,-1236,29
2.500000e+00,1.232057e+03,-5.866667e+01,-1.230333e+03,2.833333e+01
2.520000e+00,1.227405e+03,-59,-1.225667e+03,28
2.540000e+00,1.224017e+03,-5.866667e+01,-1.222333e+03,26
2.560000e+00,1.218337e+03,-5.866667e+01,-1.216667e+03,25
2.580000e+00,1.211647e+03,-58,-1210,25
2.600000e+00,1.207302e+03,-5.733333e+01,-1.205667e+03,2.566667e+01
2.620000e+00,1.202307e+03,-57,-1.200667e+03,2.633333e+01
2.640000e+00,1.197654e+03,-57,-1196,2.666667e+01
2.660000e+00,1.193984e+03,-5.666667e+01,-1.192333e+03,27
2.680000e+00,1.188674e+03,-5.666667e+01,-1187,2.766667e+01
2.700000e+00,1.183673e+03,-5.633333e+01,-1182,28
2.720000e+00,1.178696e+03,-5.633333e+01,-1177,2.866667e+01
2.740000e+00,1.172722e+03,-56,-1171,30
2.760000e+00,1.167682e+03,-55,-1166,30
2.780000e+00,1.162689e+03,-55,-1161,30
2.800000e+00,1.158019e+03,-5.566667e+01,-1.156333e+03,2.833333e+01
2.820000e+00,1.152607e+03,-55,-1151,26
2.840000e+00,1.147597e+03,-5.433333e+01,-1146,2.666667e+01
2.860000e+00,1.142596e+03,-54,-1141,27
2.880000e+00,1.137611e+03,-54,-1136,2.733333e+01
2.900000e+00,1.132635e+03,-54,-1131,28
2.920000e+00,1.126984e+03,-54,-1.125333e+03,2.833333e+01
2.940000e+00,1.122618e+03,-53,-1121,2.866667e+01
2.960000e+00,1.118324e+03,-5.333333e+01,-1.116667e+03,2.933333e+01
2.980000e+00,1.112677e+03,-53,-1111,3.033333e+01
3,1.109028e+03,-5.266667e+01,-1.107333e+03,3.133333e+01
3.020000e+00,1.104343e+03,-5.233333e+01,-1.102667e+03,31
3.040000e+00,1.097985e+03,-52,-1.096333e+03,3.033333e+01
3.060000e+00,1.092265e+03,-52,-1.090667e+03,28
3.080000e+00,1.088871e+03,-5.133333e+01,-1.087333e+03,2.666667e+01
3.100000e+00,1.084520e+03,-51,-1083,2.633333e+01
3.120000e+00,1.077546e+03,-51,-1076,27
3.140000e+00,1.072896e+03,-5.066667e+01,-1.071333e+03,28
3.160000e+00,1.068252e+03,-51,-1.066667e+03,28
3.180000e+00,1.063572e+03,-50,-1062,29
3.200000e+00,1.058595e+03,-5.033333e+01,-1057,29
3.220000e+00,1.053272e+03,-50,-1.051667e+03,2.966667e+01
3.240000e+00,1.049266e+03,-4.933333e+01,-1.047667e+03,3.033333e+01
3.260000e+00,1.043955e+03,-49,-1.042333e+03,3.133333e+01
3.280000e+00,1.040284e+03,-49,-1.038667e+03,31
3.300000e+00,1.033941e+03,-49,-1.032333e+03,3.033333e+01
3.320000e+00,1.028577e+03,-49,-1027,29
3.340000e+00,1.024848e+03,-4.833333e+01,-1.023333e+03,2.766667e+01
3.360000e+00,1.020854e+03,-4.833333e+01,-1.019333e+03,2.766667e+01
3.380000e+00,1.016842e+03,-4.833333e+01,-1.015333e+03,27
3.400000e+00,1.009499e+03,-4.733333e+01,-1008,28
3.420000e+00,1.004824e+03,-47,-1.003333e+03,28
3.440000e+00,1.000522e+03,-4.733333e+01,-999,2.833333e+01
3.460000e+00,9.972129e+02,-4.733333e+01,-9.956667e+02,29
3.480000e+00,9.919018e+02,-47,-9.903333e+02,30
3.500000e+00,9.879232e+02,-4.666667e+01,-9.863333e+02,31
3.520000e+00,9.816160e+02,-47,-980,31
3.540000e+00,9.765767e+02,-46,-975,31
3.560000e+00,9.718862e+02,-46,-9.703333e+02,30
3.580000e+00,9.678522e+02,-46,-9.663333e+02,2.866667e+01
3.600000e+00,9.637882e+02,-4.533333e+01,-9.623333e+02,2.733333e+01
3.620000e+00,9.594270e+02,-45,-958,2.666667e+01
3.640000e+00,9.551443e+02,-4.533333e+01,-9.536667e+02,2.766667e+01
3.660000e+00,9.501619e+02,-4.533333e+01,-9.486667e+02,28
3.680000e+00,9.441495e+02,-4.466667e+01,-9.426667e+02,2.833333e+01
3.700000e+00,9.411285e+02,-4.433333e+01,-9.396667e+02,28
3.720000e+00,9.344870e+02,-44,-933,29
3.740000e+00,9.304934e+02,-44,-929,29
3.760000e+00,9.258661e+02,-44,-9.243333e+02,30
3.780000e+00,9.225177e+02,-4.333333e+01,-921,3.033333e+01
3.800000e+00,9.175577e+02,-44,-916,3.033333e+01
3.820000e+00,9.131731e+02,-43,-9.116667e+02,30
3.840000e+00,9.067660e+02,-43,-9.053333e+02,2.733333e+01
3.860000e+00,9.024098e+02,-43,-901,2.633333e+01
3.880000e+00,8.987114e+02,-42,-8.973333e+02,2.666667e+01
3.900000e+00,8.943948e+02,-42,-893,27
3.920000e+00,8.894026e+02,-42,-888,27
3.940000e+00,8.854089e+02,-42,-884,27
3.960000e+00,8.810354e+02,-41,-8.796667e+02,27
3.980000e+00,8.770939e+02,-4.166667e+01,-8.756667e+02,2.766667e+01
4,8.724139e+02,-41,-871,28
4.020000e+00,8.694627e+02,-41,-868,2.933333e+01
4.040000e+00,8.634958e+02,-41,-862,30
4.060000e+00,8.594369e+02,-4.033333e+01,-858,29
4.080000e+00,8.554213e+02,-4.033333e+01,-854,2.833333e+01
4.100000e+00,8.506824e+02,-40,-8.493333e+02,2.633333e+01
4.120000e+00,8.459870e+02,-3.966667e+01,-8.446667e+02,2.566667e+01
4.140000e+00,8.430019e+02,-3.966667e+01,-8.416667e+02,26
4.160000e+00,8.387017e+02,-40,-8.373333e+02,2.633333e+01
4.180000e+00,8.346609e+02,-39,-8.333333e+02,2.633333e+01
4.200000e+00,8.287078e+02,-3.933333e+01,-8.273333e+02,27
4.220000e+00,8.253376e+02,-3.866667e+01,-824,2.666667e+01
4.240000e+00,8.213550e+02,-3.866667e+01,-820,27
4.260000e+00,8.173571e+02,-3.833333e+01,-816,2.733333e+01
4.280000e+00,8.143577e+02,-38,-813,2.766667e+01
4.300000e+00,8.104031e+02,-3.833333e+01,-809,2.833333e+01
4.320000e+00,8.044096e+02,-38,-803,2.866667e+01
4.340000e+00,8.017083e+02,-3.766667e+01,-8.003333e+02,28
4.360000e+00,7.966492e+02,-3.766667e+01,-7.953333e+02,26
4.380000e+00,7.922751e+02,-3.733333e+01,-791,25
4.400000e+00,7.882658e+02,-37,-787,25
4.420000e+00,7.846051e+02,-37,-7.833333e+02,25
4.440000e+00,7.805910e+02,-3.633333e+01,-7.793333e+02,2.533333e+01
4.460000e+00,7.769569e+02,-3.666667e+01,-7.756667e+02,2.566667e+01
4.480000e+00,7.736134e+02,-3.633333e+01,-7.723333e+02,2.566667e+01
4.500000e+00,7.692985e+02,-3.633333e+01,-768,26
4.520000e+00,7.656223e+02,-36,-7.643333e+02,26
4.540000e+00,7.623137e+02,-3.566667e+01,-761,27
4.560000e+00,7.573501e+02,-36,-756,2.733333e+01
4.580000e+00,7.529653e+02,-35,-7.516667e+02,27
4.600000e+00,7.502952e+02,-3.533333e+01,-749,2.633333e+01
4.620000e+00,7.465891e+02,-3.533333e+01,-7.453333e+02,25
4.640000e+00,7.415274e+02,-35,-7.403333e+02,2.333333e+01
4.660000e+00,7.382208e+02,-35,-737,24
4.680000e+00,7.341805e+02,-34,-733,24
4.700000e+00,7.302183e+02,-3.466667e+01,-729,24
4.720000e+00,7.265263e+02,-34,-7.253333e+02,24
4.740000e+00,7.228657e+02,-34,-7.216667e+02,24
4.760000e+00,7.195491e+02,-34,-7.183333e+02,2.433333e+01
4.780000e+00,7.158959e+02,-3.366667e+01,-7.146667e+02,25
4.800000e+00,7.119229e+02,-3.333333e+01,-7.106667e+02,26
4.820000e+00,7.092610e+02,-3.333333e+01,-708,26
4.840000e+00,7.056008e+02,-3.333333e+01,-7.043333e+02,26
4.860000e+00,7.022178e+02,-3.266667e+01,-701,2.533333e+01
4.880000e+00,6.991535e+02,-3.266667e+01,-698,2.333333e+01
4.900000e+00,6.941506e+02,-3.266667e+01,-693,23
4.920000e+00,6.904791e+02,-3.266667e+01,-6.893333e+02,2.266667e+01
4.940000e+00,6.867982e+02,-32,-6.856667e+02,23
4.960000e+00,6.831692e+02,-3.266667e+01,-682,23
4.980000e+00,6.801426e+02,-32,-679,23
5,6.774762e+02,-3.166667e+01,-6.763333e+02,2.333333e+01
5.020000e+00,6.738236e+02,-3.133333e+01,-6.726667e+02,24
5.040000e+00,6.695098e+02,-3.133333e+01,-6.683333e+02,2.433333e+01
5.060000e+00,6.662228e+02,-3.166667e+01,-665,25
5.080000e+00,6.631720e+02,-31,-662,2.433333e+01
5.100000e+00,6.605101e+02,-31,-6.593333e+02,2.433333e+01
5.120000e+00,6.571190e+02,-3.066667e+01,-656,23
5.140000e+00,6.524259e+02,-3.066667e+01,-6.513333e+02,22
5.160000e+00,6.490809e+02,-31,-648,21
5.180000e+00,6.460607e+02,-30,-645,2.166667e+01
5.200000e+00,6.427329e+02,-30,-6.416667e+02,2.166667e+01
5.220000e+00,6.394165e+02,-30,-6.383333e+02,22
5.240000e+00,6.364060e+02,-2.966667e+01,-6.353333e+02,22
5.260000e+00,6.337438e+02,-2.966667e+01,-6.326667e+02,22
5.280000e+00,6.304279e+02,-2.966667e+01,-6.293333e+02,2.233333e+01
5.300000e+00,6.267807e+02,-2.943333e+01,-6.256667e+02,23
5.320000e+00,6.241235e+02,-29,-623,2.366667e+01
5.340000e+00,6.211289e+02,-29,-620,2.366667e+01
5.360000e+00,6.171110e+02,-29,-616,23
5.380000e+00,6.133832e+02,-2.833333e+01,-6.123333e+02,22
5.400000e+00,6.106820e+02,-28,-6.096667e+02,2.133333e+01
5.420000e+00,6.083606e+02,-2.866667e+01,-6.073333e+02,2.066667e+01
5.440000e+00,6.043138e+02,-28,-6.033333e+02,20
5.460000e+00,6.017091e+02,-28,-6.006667e+02,2.166667e+01
5.480000e+00,5.980020e+02,-28,-597,2.033333e+01
5.500000e+00,5.956958e+02,-28,-5.946667e+02,21
5.520000e+00,5.920355e+02,-28,-591,21
5.540000e+00,5.890459e+02,-2.733333e+01,-588,22
5.560000e+00,5.863686e+02,-27,-5.853333e+02,22
